Date,Ghost_Size,Eligible_Size,Live_Size,Opt_Exp_Return,Opt_Exp_Variance,Effective_Gross_Exposure,Mean_Innovation_Z,Mean_CUSUM_S_t,Vol_Ratio,Mean_LinUCB_Gate,rebalanced
2025-08-26,22,0,0,0.0,0.0,1.0,0.0,0.0,1.3921206399741326,1.8863636363636367,1
2025-09-05,12,1,1,0.25,0.0047806425696245575,0.25,1.8820968954421822,0.0,0.8093894915408143,1.916666666666667,1
2025-09-08,10,1,1,0.25,0.0015361304213852517,0.25,3.5873990239295495,0.0,0.8116415057330608,2.175,1
2025-09-09,11,0,0,0.0,0.0,1.0,0.0,0.0,0.8110533149766722,1.5681818181818181,1
2025-09-10,12,1,1,0.25,0.001009995601766692,0.25,1.634830683636057,0.0,0.632253245100754,1.5625,1
2025-09-11,14,3,3,0.6618184505045183,0.008458887902554358,0.6618184505045183,2.0874627430848354,0.0,0.6155515224082534,1.5535714285714286,1
2025-09-12,12,4,4,0.8784134574110198,0.011252133730451908,0.8784134574110198,2.0284723416034387,0.0,1.0055113902229762,1.5625,1
2025-09-15,11,1,1,0.25,0.003434308728627274,0.25,2.553352691947264,0.0,1.1906578005326018,2.1818181818181817,1
2025-09-16,10,0,0,0.0,0.0,1.0,0.0,0.0,1.2404955819313148,2.25,1
2025-09-17,12,1,1,0.25,0.0020936893722439875,0.25,2.5680368691547883,0.0,1.257647986941381,2.25,1
2025-09-18,14,0,0,0.0,0.0,1.0,0.0,0.0,1.278815748909261,2.1928571428571426,1
2025-09-19,14,2,2,0.38767637449746195,0.004249746105547111,0.38767637449746195,3.2387185721598604,0.0,0.7825243411614601,2.2214285714285715,1
2025-09-22,14,3,3,0.6704767144533252,0.004689847427937081,0.6704767144533252,2.924412726628862,0.0,0.5561031247254066,2.192857142857143,1
2025-09-25,14,3,3,0.7280025709049069,0.005010543595964046,0.7280025709049069,3.4568882257902054,0.0,0.5588294484072418,2.135714285714286,1
2025-09-29,13,2,2,0.4451482256921711,0.0031039552246924645,0.4451482256921711,3.3363806713892377,0.0,0.9824124641065559,2.130769230769231,1
2025-09-30,11,3,3,0.5972653133752639,0.003763472721590039,0.5972653133752639,2.914270847529169,0.0,1.0138096049564245,2.072727272727273,1
2025-10-01,11,3,3,0.6832651414316913,0.007034127478398069,0.6832651414316913,3.4654956617214,0.0,1.0415622538875258,2.140909090909091,1
2025-10-02,11,2,2,0.40203016725441487,0.003147947948434319,0.40203016725441487,3.3289984502105296,0.0,0.987187249189394,2.1818181818181817,1
2025-10-03,9,1,1,0.25,0.005541697883828606,0.25,2.4083521896491873,0.0,0.5079714479039678,2.0722222222222224,1
2025-10-07,10,2,2,0.46957460679086716,0.012380825742617802,0.46957460679086716,2.54285409857786,0.0,0.23446196662649377,1.9700000000000002,1
2025-10-08,9,1,1,0.25,0.005647896643177138,0.25,2.4083521896491873,0.0,0.48638945106040965,2.2055555555555557,1
2025-10-09,6,0,0,0.0,0.0,1.0,0.0,0.0,0.5381849487139285,2.183333333333333,1
2025-10-13,7,4,4,0.8613901107388391,0.029450647084072648,0.8613901107388391,2.330197265772715,0.0,1.444469326361655,1.5,1
2025-10-14,5,3,3,0.6455690957634901,0.020978095799900322,0.6455690957634901,2.2585471286307244,0.0,1.8396880607457533,1.65,1
2025-10-15,6,2,2,0.4886884734307855,0.013557103282494001,0.4886884734307855,2.500918378829048,0.0,1.981446988715459,1.625,1
2025-10-16,7,1,1,0.25,0.008586614706938691,0.25,1.9629696038491258,0.0,1.9752272360879493,1.6071428571428572,1
2025-10-17,7,0,0,0.0,0.0,1.0,0.0,0.0,1.9694655436887376,1.7142857142857142,1
2025-10-23,9,1,1,0.25,0.00573477461925287,0.25,2.39312263696826,0.0,1.1335036168165942,2.1666666666666665,1
2025-10-24,9,0,0,0.0,0.0,1.0,0.0,0.0,0.8131725820972637,2.1222222222222222,1
2025-11-06,15,1,1,0.25,0.001213969209488067,0.25,2.295354070575751,0.0,0.7768198581686161,2.1733333333333333,1
2025-11-07,16,1,1,0.25,0.006802915030750256,0.25,2.8916533047918502,0.0,0.845751508902652,2.203125,1
2025-11-10,17,2,2,0.3370913685315534,0.0016191095530054675,0.3370913685315534,2.6440744286305096,0.0,1.0826082797555492,2.161764705882353,1
2025-11-11,16,1,1,0.25,0.0005607715905933847,0.25,2.396495552469169,0.0,1.1400097482899951,2.13125,1
2025-11-12,14,2,2,0.4964970538872734,0.0034637458382306653,0.4964970538872734,2.8810010923780873,0.0,0.9557900778667822,2.2214285714285715,1
2025-11-14,13,1,1,0.25,0.002767249464016326,0.25,3.3655066322870058,0.0,1.256178541597405,2.076923076923077,1
2025-11-25,8,0,0,0.0,0.0,1.0,0.0,0.0,1.6097656629830455,1.6875,1
2025-11-26,8,1,1,0.25,0.0017230376284220685,0.25,1.8541653711572792,0.0,1.716501547994061,1.59375,1
2025-12-01,9,0,0,0.0,0.0,1.0,0.0,0.0,0.8378021232084939,2.1666666666666665,1
2025-12-09,10,2,2,0.44301516546001973,0.002315344192630697,0.44301516546001973,2.433825698848608,0.0,0.6187040055807688,2.175,1
2025-12-10,10,3,3,0.6668267233312524,0.004715112667724552,0.6668267233312524,2.866106267421653,0.0,0.6386504141628392,2.175,1
2025-12-11,12,1,1,0.25,0.0029426586822509804,0.25,2.5878068597637984,0.0,0.9374797444127667,2.125,1
2025-12-12,13,2,2,0.4823740971900523,0.0053818042517625175,0.4823740971900523,2.353527882266726,0.0,1.0106511255267123,2.1346153846153846,1
2025-12-16,10,0,0,0.0,0.0,1.0,0.0,0.0,1.076054245554361,2.175,1
2026-01-06,5,1,1,0.25,0.0016029272270283662,0.25,3.232013261163563,0.0,0.9679670399848004,2.25,1
2026-01-07,7,0,0,0.0,0.0,1.0,0.0,0.0,1.1161502409851847,2.142857142857143,1
2026-01-14,8,1,1,0.25,0.002411044986452955,0.25,3.2217215974529987,0.0,1.0279799494680688,2.15625,1
2026-01-15,9,0,0,0.0,0.0,1.0,0.0,0.0,0.44831997377172034,2.2055555555555557,1
2026-01-16,10,2,2,0.3906539069625836,0.0033704195175846743,0.3906539069625836,2.6390118410395473,0.0,0.3272756653801355,2.21,1
2026-01-20,8,2,2,0.4240926085203117,0.0012485030747201053,0.4240926085203117,3.3461447640446003,0.0,0.39969911447538925,2.15,1
2026-01-22,12,0,0,0.0,0.0,1.0,0.0,0.0,1.498564648898835,1.8125,1
2026-01-23,11,1,1,0.25,0.002658705137913367,0.25,2.6742510580748275,0.0,1.4961908209629053,1.9090909090909092,1
2026-01-26,13,0,0,0.0,0.0,1.0,0.0,0.0,1.4951643427020016,1.8461538461538463,1
2026-01-28,14,1,1,0.25,0.007179326591457517,0.25,1.606805590912189,0.0,1.0303526013271933,2.0892857142857144,1
