,Ghost_Size,Eligible_Size,Live_Size,Opt_Exp_Return,Opt_Exp_Variance,Effective_Gross_Exposure,Mean_Innovation_Z,Mean_CUSUM_S_t,Vol_Ratio,Mean_LinUCB_Gate,rebalanced,Live_Realized_Return,Ghost_Realized_Return,Eligible_Realized_Return
2024-09-09,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.1294535397709355,1.9730769230769236,1,0.0,0.0,0.0
2024-09-10,14.0,3.0,3.0,0.6765523491698052,0.007073147555013919,0.6765523491698052,2.270033345367817,0.0,1.192917024282795,2.021428571428572,1,0.0,-0.00022693479649993353,0.0
2024-09-11,14.0,5.0,5.0,1.0064493720840215,0.011334858852067937,1.0064493720840215,2.7983987023843913,0.0,0.9788028528022389,1.9357142857142862,1,-0.00017839512248873923,-0.0007380424195153612,-0.0002640216169097487
2024-09-12,14.0,3.0,3.0,0.6915015900706343,0.007883310747886316,0.6915015900706343,2.7090208186693574,0.0,1.022567093312282,2.164285714285714,1,-0.0027052015508126637,0.0038792153438320653,-0.004313308622362011
2024-09-13,14.0,3.0,3.0,0.6915015900706343,0.007883310747886316,0.6915015900706343,2.7090208186693574,0.0,1.022567093312282,2.164285714285714,0,-0.0030560364749075974,5.2831766584660045e-05,-0.0013050646157704016
2024-09-16,11.0,1.0,1.0,0.25,0.004714940471745642,0.25,2.043225343892831,0.0,0.4735404026984087,2.213636363636364,1,0.00020589010406424357,0.0019334768250076628,0.003909815902924052
2024-09-17,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4006885601314199,2.25,1,0.0021300146516483043,0.005106886655456444,0.015726222181787985
2024-09-18,11.0,1.0,1.0,0.25,0.003252969318200815,0.25,2.309265010934919,0.0,0.3304013893727343,2.25,1,0.002422734055055553,-0.0025807514252454977,0.014045740310758559
2024-09-19,11.0,2.0,2.0,0.4209547894374523,0.005140624797551735,0.4209547894374523,2.341870455700935,0.0,0.5151516312567347,2.25,1,-6.332569657740983e-05,-0.0077583364929628695,0.007198286096870454
2024-09-20,10.0,1.0,1.0,0.25,0.003071703063758879,0.25,2.3744759004669507,0.0,0.6416426498923649,1.575,1,0.0075184315320036,0.005295330150743904,0.02389633698384075
