Date,Ghost_Size,Eligible_Size,Live_Size,Opt_Exp_Return,Opt_Exp_Variance,Effective_Gross_Exposure,Mean_Innovation_Z,Mean_CUSUM_S_t,Vol_Ratio,Mean_LinUCB_Gate,rebalanced
2025-08-26,22,1,1,0.25,0.0016160893286528777,0.25,1.637657177193398,0.0,1.3921206399741326,1.5,1
2025-08-29,19,0,0,0.0,0.0,1.0,0.0,0.0,1.4058258132884554,2.15,1
2025-09-08,10,1,1,0.25,0.0015361304213852517,0.25,3.5873990239295495,0.0,0.8116415057330608,2.1,1
2025-09-09,11,0,0,0.0,0.0,1.0,0.0,0.0,0.8110533149766722,1.7545454545454546,1
2025-09-10,12,1,1,0.25,0.001009995601766692,0.25,1.634830683636057,0.0,0.632253245100754,1.7625000000000002,1
2025-09-11,14,3,3,0.6618184505045183,0.008458887902554358,0.6618184505045183,2.0874627430848354,0.0,0.6155515224082534,1.7500000000000004,1
2025-09-12,12,4,4,0.8784134574110198,0.011252133730451908,0.8784134574110198,2.0284723416034387,0.0,1.0055113902229762,1.7333333333333336,1
2025-09-15,11,1,1,0.25,0.003434308728627274,0.25,2.553352691947264,0.0,1.1906578005326018,2.213636363636364,1
2025-09-16,10,0,0,0.0,0.0,1.0,0.0,0.0,1.2404955819313148,2.25,1
2025-09-17,12,1,1,0.25,0.0020936893722439875,0.25,2.5680368691547883,0.0,1.257647986941381,2.25,1
2025-09-18,14,2,2,0.5,0.0032282858526883973,0.5,1.7082820935722554,0.0,1.278815748909261,1.6071428571428572,1
2025-09-19,14,3,3,0.6096614848590133,0.005848065489492496,0.6096614848590133,2.6889998479628994,0.0,0.7825243411614601,1.6857142857142857,1
2025-09-22,14,4,4,0.8611398789759579,0.006182156546695761,0.8611398789759579,2.5907001448638907,0.0,0.5561031247254066,2.1142857142857143,1
2025-09-25,14,4,4,0.844278836875504,0.004799546150960521,0.844278836875504,2.990056769234899,0.0,0.5588294484072418,2.1964285714285716,1
2025-09-29,13,3,3,0.651175175022372,0.004625363963479565,0.651175175022372,2.7541079141158176,0.0,0.9824124641065559,2.103846153846154,1
2025-09-30,11,3,3,0.5972653133752639,0.003763472721590038,0.5972653133752639,2.9121782326689014,0.0,1.0138096049564245,1.7045454545454546,1
2025-10-01,11,3,3,0.6832651414316913,0.007034127478398069,0.6832651414316913,3.4654956617214,0.0,1.0415622538875258,1.7045454545454546,1
2025-10-02,11,2,2,0.40203016725441487,0.003147947948434319,0.40203016725441487,3.3289984502105296,0.0,0.987187249189394,2.1136363636363638,1
2025-10-03,9,1,1,0.25,0.005541697883828606,0.25,2.4083521896491873,0.0,0.5079714479039678,1.8333333333333333,1
2025-10-06,8,2,2,0.4268848097634315,0.010274705012243333,0.4268848097634315,1.9873866552580366,0.0,0.11459160284266394,1.78125,1
2025-10-07,10,2,2,0.46957460679086716,0.012380825742617802,0.46957460679086716,2.54285409857786,0.0,0.23446196662649377,2.25,1
2025-10-08,9,1,1,0.25,0.005647896643177138,0.25,2.4083521896491873,0.0,0.48638945106040965,2.25,1
2025-10-09,6,0,0,0.0,0.0,1.0,0.0,0.0,0.5381849487139285,2.25,1
2025-10-13,7,2,2,0.4051772482354198,0.008331972843273324,0.4051772482354198,2.618928043551138,0.0,1.444469326361655,1.9142857142857141,1
2025-10-14,5,1,1,0.25,0.005186410156211873,0.25,3.0388671538089707,0.0,1.8396880607457533,1.85,1
2025-10-15,6,2,2,0.4723633405127789,0.017162187938123297,0.4723633405127789,2.6015390339547055,0.0,1.981446988715459,1.8499999999999999,1
2025-10-16,7,0,0,0.0,0.0,1.0,0.0,0.0,1.9752272360879493,2.0285714285714285,1
2025-10-23,9,1,1,0.25,0.00573477461925287,0.25,2.39312263696826,0.0,1.1335036168165942,2.2055555555555557,1
2025-10-24,9,0,0,0.0,0.0,1.0,0.0,0.0,0.8131725820972637,2.1222222222222222,1
2025-11-06,15,1,1,0.25,0.001213969209488067,0.25,2.295354070575751,0.0,0.7768198581686161,2.2233333333333336,1
2025-11-07,16,1,1,0.25,0.006802915030750256,0.25,2.8916533047918502,0.0,0.845751508902652,2.225,1
2025-11-10,17,2,2,0.3370913685315534,0.0016191095530054675,0.3370913685315534,2.6440744286305096,0.0,1.0826082797555492,2.182352941176471,1
2025-11-11,16,2,2,0.5,0.0016612832206797153,0.5,2.1139358182083345,0.0,1.1400097482899951,2.13125,1
2025-11-12,14,3,3,0.7453511182261489,0.004172001798423242,0.7453511182261489,2.5311260895678918,0.0,0.9557900778667822,2.1964285714285716,1
2025-11-13,14,2,2,0.5,0.0035522497919861745,0.5,2.8810010923780873,0.0,0.9431607219134969,2.1964285714285716,1
2025-11-14,12,0,0,0.0,0.0,1.0,0.0,0.0,1.256178541597405,1.5916666666666668,1
2025-11-26,8,1,1,0.25,0.0017230376284220685,0.25,1.8541653711572792,0.0,1.716501547994061,1.675,1
2025-12-01,9,0,0,0.0,0.0,1.0,0.0,0.0,0.8378021232084939,1.6222222222222222,1
2025-12-09,10,2,2,0.44301516546001973,0.002315344192630697,0.44301516546001973,2.433825698848608,0.0,0.6187040055807688,1.9100000000000001,1
2025-12-10,10,4,4,0.884819984308683,0.006050759566209479,0.884819984308683,2.5352349313847555,0.0,0.6386504141628392,1.8350000000000002,1
2025-12-11,12,1,1,0.25,0.0029426586822509804,0.25,2.5878068597637984,0.0,0.9374797444127667,2.091666666666667,1
2025-12-12,13,2,2,0.4823740971900523,0.0053818042517625175,0.4823740971900523,2.353527882266726,0.0,1.0106511255267123,2.103846153846154,1
2025-12-15,12,3,3,0.629985175468399,0.005796078332167318,0.629985175468399,2.173181672659507,0.0,1.179737349759462,1.9666666666666668,1
2025-12-16,11,2,2,0.46052464211625077,0.005010091412844841,0.46052464211625077,2.353527882266726,0.0,1.076054245554361,2.1454545454545455,1
2025-12-17,10,0,0,0.0,0.0,1.0,0.0,0.0,1.1890628662863874,1.985,1
2026-01-06,5,1,1,0.25,0.0016029272270283662,0.25,3.232013261163563,0.0,0.9679670399848004,1.95,1
2026-01-07,7,0,0,0.0,0.0,1.0,0.0,0.0,1.1161502409851847,1.9214285714285713,1
2026-01-08,9,1,1,0.25,0.0012865960498718166,0.25,1.6993908608978536,0.0,1.3794496905132654,1.911111111111111,1
2026-01-13,8,2,2,0.5,0.00376248766809834,0.5,1.7160234240916283,0.0,1.2328136850137894,1.9125,1
